pattern,level,meaning,formation,example_ja,example_en,tags,notes
〜ことだ,N3,should; it is important to,Verb-plain + ことだ,毎日復習することだ。,You should review every day.,advice; emphasis,
〜ことはない,N3,there is no need to; never happens,Verb-plain + ことはない,心配することはない。,There is no need to worry.,negation; reassurance,
〜そうにする,N3,pretend to; act as if,Verb-plain + そうにする,知らないそうにしていた。,I pretended not to know.,pretense; appearance,
〜ところ,N3,time; place; situation; about to,Verb-plain / Verb-te / Verb-ta + ところ,今、出かけるところです。,I am about to go out now.,timing; situation,
〜について,N3,about; concerning; regarding,Noun + について,環境について話す。,Talk about the environment.,topic,
〜によって,N3,by means of; due to; depending on; passive agent,Noun + によって,この本は有名な作家によって書かれた。,This book was written by a famous author.,means; passive; difference,
〜によると,N3,according to,Noun + によると,天気予報によると、明日は雨だ。,"According to the weather forecast, it will rain tomorrow.",hearsay,
〜に対して,N3,toward; in contrast to; regarding,Noun + に対して,お客様に対して丁寧に話す。,Speak politely toward customers.,target; contrast,
〜ばかり,N3,only; just; full of; tendency to,Verb-te / Noun + ばかり,毎日ゲームをしているばかりだ。,I do nothing but play games every day.,limitation; habit,
〜ばかりでなく,N3,not only ... but also,Verb-plain / i-adjective / na-adjective + ばかりでなく,彼女は頭がいいばかりでなく、優しい。,She is not only smart but also kind.,addition,
〜ものだ,N3,it is natural/normal to; one should,Verb-plain + ものだ,子供のころはよく遊んだものだ。,I used to play a lot as a child.,general-truth; nostalgia,
〜ものではない,N3,should not; it's not right to,Verb-plain + ものではない,人の悪口を言うものではない。,You shouldn't speak ill of others.,prohibition; advice,
〜よう,N3,way/manner of; like; in order to,Verb-plain + よう,泳ぎ方を教えてください。,Please teach me how to swim.,method; purpose,
〜ようにする,N3,make sure to; try to,Verb-plain + ようにする,毎日日本語を話すようにしている。,I make sure to speak Japanese every day.,effort; habit,
〜ようになる,N3,come to be able to; reach the point where,Verb-plain + ようになる,毎日練習したら、泳げるようになった。,"After practicing every day, I became able to swim.",change; ability,
〜らしい,N3,seems; I heard; typical (less casual than みたい),Verb-plain / i-adjective / na-adjective + らしい,彼は怒っているらしい。,He seems angry.,hearsay; appearance,
〜わけがない,N3,there is no way that; impossible,Verb-plain / i-adjective / na-adjective + わけがない,あの人が嘘をつくわけがない。,There is no way that person would lie.,impossibility; strong-negation,
〜わけだ,N3,it is natural that; no wonder; as expected,Verb-plain / i-adjective / na-adjective + わけだ,毎日勉強しているから、上手になるわけだ。,"Since you study every day, it's natural that you improve.",reason; conclusion,
〜わけではない,N3,it doesn't mean that; not necessarily,Verb-plain / i-adjective / na-adjective + わけではない,嫌いなわけではない。,It's not that I dislike it.,negation; nuance,
〜一方,N3,on the one hand; on the other hand; while,Noun/Verb-plain + 一方,この町は静かな一方、不便だ。,"This town is quiet, but on the other hand, it's inconvenient.",contrast,
